,post
10,"see: the drive-thru vaccination of the manila local government was launched today, july 31st at the quirino grandstand.

this coincides with the city’s ongoing development of its covid-19 mass vaccination program.

the only ones to be vaccinated are individuals who have made a reservation at www.manilacovid19vaccine.ph.

the process for those who wish to reserve their slot can be found in this post: https://m.facebook.com/story.php?story_fbid=368634307965927&id=100044580812914.

manila city mayor francisco 'isko moreno' domagoso thanked the hardworking staff of the manila health department and the children of manila who continue to trust the city's mass vaccination program.

(photos by christian turingan & k r de asis / mpio)

#alertomanileno #covid19ph"
11,"please call from the city government:

we need volunteers for 24/7 vaccination in manila. the manila health department is open to accepting the following:

—Doctor (doctor)
—Nars (nurse)
—Dentist (dentist)
—Midwife
—Medical technologist
—Pharmacist
—Other allied health professionals (all other allied health professionals)
—College graduates or college students who are computer-literate (college graduates or college students who are computer-literate)
—Others

just contact any of these numbers: 09951069524 (globe) or 09606040771 (smart)

covid-19 does not sleep so no sleep should be helped with the vaccine.

Thank you very much and let's work together to end this pandemic. -mayor isko moreno domagoso"
12,"Q: Did anyone hack into your vaccination sites?

a: 133 times the attack was made, at night but they didn't succeed because they did the same to me about 2 months ago when the number of people being vaccinated in manila was plummeting. Aren't they happy when many are vaccinated, shouldn't they be happy because that's protection given to man?

mayor francisco 'isko moreno' domagoso in an interview on dzrh's ""dos por dos""

August 5, 2021"
13,"manila vaccination certificate: manila children, you can now access on the manila covax website (www.manilacovid19vaccine.ph) your vaccination certificate that can be used to travel in and out of the country. just go to 'search my record' (login), and just click 'my certificate' to generate it!

scan the qr code found on the certificate for the city government to verify.

Thank you very much, young people of Manila, for your continued trust in the city's mass vaccination program.

manila, god first! —Mayor isko moreno domagoso"
14,"news alert: mayor isko announces three new housing projects

manila city mayor francisco 'isko moreno' domagoso announced that three more housing projects will be built to continue to address the plight of informal settlers.

domagoso said in his third state of the city address on thursday, july 15, that the housing projects will be constructed in san sebastian, san lazaro, and pedro gil areas.

san sebastian residences, san lazaro residences, and pedro gil residences will be a twenty-storey high building with 300 units each and health center based on the ground floor. san lazaro residences will also have its own public laboratory.

“If singapore did it, manila can do it. the houses we have built will restore dignity to the lives of the millers. there will be an opportunity for them, ”domagoso said.

“It is difficult to be a squatter in his hometown so we will not stop. we will continue to pursue to give back the dignity to every family in the city of manila. God has mercy, just fit, we can do it, we can also survive, ”he added.

the future housing projects is on top of the ongoing construction of city government’s flagship housing projects called tondominium 1, tondonminium 2, and binondominium. all of which are now more than 50% complete.

to recall, domagoso led the inauguration of the 42-square meters two-storey townhouse unit called basecommunity last july 5. the unit includes two bedrooms, one living room, one kitchen, one laundry area, one toilet and bath area.

""It's not just life-saving, we focused on livelihoods during the pandemic, we also focus on housing,"" Domagoso said during his third state of the city address on Thursday, July 15.

""Housing that is not a short -term move house, that person is like garbage that you dump on others,"" he added.

#alertomanileno #bagongmaynila"
15,"extreme weather alert: the manila disaster risk reduction and management office monitored some flooded areas in the city of manila on wednesday, july 21, following the heavy downpour.

the following are the areas with gutter deep to tire deep flood:

gutter deep
quirino station.
padre faura to u.n station.
maria orosa corner padre burgos.
p. ocampo, p. ocampo to roxas.
taft luneta.
taft nbi.
san marcelino.
manila city hall infront of sm manila.
p. burgos.
finance road.
españa san diego st.
españa - dela fuente to don quijote st. - gutter deep

tire deep
kalaw going to roxas boulevard.
quirino station along taft avenue.
u.n ave.

orange rainfall warning is still in effect in the nation's capital as of 9:45am. the public are highly advised to take extra precautions amid the bad weather.

#alertomanileno"
16,"we formally opened the ""manila drive thru vaccination"" last saturday at the quirino grandstand, rizal park. with the resurgence of covid-19 cases in our country, it would be better for us to have adequate protection against it.

please register at www.manilacovid19vaccine.ph to reserve your ""slot"" in our vaccination.

manila, god is the first! —Mayor isko moreno domagoso"
17,"important notice: the vaccination at sm san lazaro has been canceled today, thursday, the 5th of august.

such a step was taken to ensure the safety and security of the public after it was overrun by those wishing to be vaccinated.

#alertomanileno #covid19ph"
18,"attention. please share with your loved ones.

the mass vaccination against covid-19 will continue tomorrow, august 5, in the city of manila.

Important note for everyone:

the vaccination will be held until 7 pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose of vaccination will be given for those belonging to the a1, a2, a3, a4, and a5 priority groups. it will be held at four mall sites.

last call to those belonging to the a1, a2, a3, a4, and a5 groups who are scheduled to receive their second dose of sputnik v (which was first vaccinated on May 4 to June 8, 2021 only), just go to san andres sports complex for your second dose vaccination.

last call also to those belonging to a1, a2, a3, a5, and a5 priority groups who are scheduled to receive their second dose of astrazeneca (which was first vaccinated on March 9 to May 15, 2021 only), just go to ramon magsaysay high school for your second dose vaccination.

for all vaccinators, please show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
19,"news alert: manila begins construction of new manila science high school

manila city mayor francisco 'isko moreno' domagoso on monday, july 26, led the groundbreaking ceremony for the construction of the p1.3 billion new manila science high school.

domagoso was joined by vice mayor ma. sheilah ‘honey’ lacuna food, among other city government officials during the event.

the mayor said that the construction of the 10-storey manila science high school would result to a more conducive learning experience to the future generation of students.

""if public schools have a product of great individuals in the industry they belong to, what if one day they have adequate, proper, and good facilities within the school?"" domagoso said.

""building this school is our own little way of stimulating our domestic economy in the city of manila. at the same time, we address the perennial problem of the teacher-student ratio in our public education system,"" he added.

the following are among the features of the new manila science high school once it completed its construction: 158 classrooms, 16 offices, 1 library, 1 canteen, 1 gymnasium, 2 outdoor basketball court with retractable goal convertible to football field, 1 rooftop deck outdoor sport & exercise area, 5 units elevator x 24 persons each capacity, and 5 stairs node.

domagoso said that the city government will continue to address the educational concern of the nation's capital amid the covid-19 pandemic.

""it's true, this pandemic is defeating us -\ -\ problem after problem after problem. but we, manilenos, we've survived many obstacles, so many challenges in the past, and here we are today in challenge by this deadly disease, by this weather, by economy, by opportunity, but we must move on, we must unite, we must act in synchrony, ""the mayor said.

""we must create as if we are an orchestra playing different musical instrument, playing one song in synchrony. then with unity and unison, we will win. mananalo tayo,"" he added.

###"
20,"sa gitna ng pandemya, may kapanatagan at pag-asa sa maynila

manila city mayor francisco 'isko moreno' domagoso delivered his third state of the city address on thursday, july 15.

among the topics that domagoso discussed were covid-19 pandemic, housing projects, assistance provided to the public, criminality, business, and education.

""if we have done so much with so little so fast under challenging conditions, it is because ordinary people rose to do the extraordinary things,"" domagoso said.

""we did not lockdown development. we did not place progress in quarantine. we worked through the long dark night,"" he added.

domagoso's state of the city address ran for about 2 hours.

(photos by k r de asis/mpio)

#alertomanileno #bagongmaynila"
21,"we, the children of manila, will continue to organize and take care of our city, especially our environment.

last week we opened the redeveloped plaza moriones linear park to provide a better park for our young manila, and more green spaces for our nature.

manila, god first! —Mayor isko moreno domagoso"
22,"here are the rules that must be followed in this enhanced community quarantine (ecq) based on the order of the inter-agency task force and the effect of executive order no. 20, series of 2021 of the city of manila."
23,"alert news: vaccinations flooded due to false reports

misinformation led to the influx of non-Manilans to the vaccination sites in the country's capital this Thursday, August 5th.

most of the people who flocked to get the first dose were not from Manila and did not have a qr code or waiver to prove they were registered.

this was emphasized by the second mayor ma. sheilah 'honey' lacuna-pangan after information spread that anyone who has not been vaccinated will be picked up when they leave their homes.

""The people interviewed there said, 'they are scared because there is a rumor that they will not be allowed to go out if they do not have the vaccine',"" lacuna-pangan said in a statement.

""As much as possible we want to embrace everyone to be vaccinated, whether they are from Manila or not,"" the second mayor added.

according to the manila police district (mpd) report, the influx of people from the provinces of cavite, laguna, rizal and bulacan started at 2:00 am.

""They came in groups, they came in vans,"" an MPD investigator said.

the influx of vaccination occurred one day before the implementation of enhanced community quarantine or ecq began.

lacuna-pangan insisted that those who want to line up be informed if there are no more slots left, but people still struggle to line up even though they know it.

""the police and volunteers always inform the people about the cut off, it's just a coincidence that too many people have flocked earlier and are taking risks. people can't be asked anymore,"" he said.

according to lacuna-pangan, just wednesday night it was announced that only a few doses were reserved at lucky chinatown mall, robinsons place manila, sm manila, and sm san lazaro.

""We monitor the situation in the malls, the queue is good, when the cut off is over, we notify the people. That's all that is allocated to us so we have a cut off. 2,500 doses per mall,"" he added.

due to the influx of people, it was forced to suspend the vaccination in sm san lazaro to ensure the safety and security of the people.

#alertomanileno #covid19ph"
24,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 31, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to the a2 and a3 priority groups will be conducted at the university of santo tomas gymnasium.

at the same time, we will launch for the first time the drive-thru vaccination at the quirino grandstand. This is for those who have registered only (1 reserved client + 3 registered passengers only), no walk-in clients allowed.

those belonging to the a1, a2, a3, a4, and a5 priority groups who were first vaccinated on July 3, 2021 will receive their second dose of sinovac. It will be held at 18 school sites in the city and four mall sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
25,"attention. please share with your loved ones.

the mass vaccination against covid-19 will continue tomorrow, august 3, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the second dose of sinovac vaccination will be given to those belonging to the a1, a2, a3, a4, and a5 priority groups who were first vaccinated on July 5, 2021 only. it will be held at four mall sites and 18 school sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
26,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 29, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the second dose of modern vaccination will be performed for the following:

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at gut andres bonifacio memorial medical center hospital of tondo. will hold their second dose vaccination at lucky chinatown mall.

- members of a1 (including their relatives) and a2 priority groups who were vaccinated on july 1, 2021 in sta. there is a hospital. their second dose vaccination will be held in sm city manila.

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at justice jose abad santos general hospital and sampaloc hospital. their second dose vaccination will be held in sm city san lazaro.

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at the manila hospital. their second dose vaccination will be held at robinsons place manila.

- members of a1 (along with their relatives) and a2 priority groups who were vaccinated on july 1, 2021 at manila prince hotel. their second dose vaccination will be held at the san andres sports complex.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
27,"state of the city address: ulat sa bayan ni manila city mayor francisco 'isko moreno' domagoso

#alertomanileno"
28,"news alert: mayor isko responds to poverty: ‘help continues’

manila mayor francisco 'isko moreno' domagoso emphasized the importance of having a government that responds and looks after the needs of the public.

domagoso said in his third state of the city address this tuesday, july 15, that the entire manila city government exists to help and care for every manilenyo family.

""Responding to a pandemic is not just track, test, treat, there is a fourth important"" t "", it is help because covid kills by hunger too. its most dangerous comorbidity is poverty,"" said domagoso.

""covid does not only prey on the physically unhealthy but also on the financially weak. although we observe social distancing to stop covid, we practice social solidarity to fight its effects,"" the mayor added.

some of the assistance delivered by the local government is the distribution of monthly financial aid for approximately 15,000 grandparents, 21,800 pwd, 5,000 solo parents, 17,000 college students, and 5,000 students in grade 12.

in line with domagoso's aspiration that no one will go hungry in manila, the manila city government has launched the covid-19 food security program (fsp) to address the growing stomach of every manilenyo.

under the said program, various branches of government were able to deliver fsp boxes to approximately 692,000 families in six months.

""We tried to be humane. As I always say, this pandemic, there is no taught jurisdiction, no taught status in society. Everyone can be hit,"" said Domagoso.

In addition, up to 22,563 people were rescued by government emergency and rescue units from various types of danger, 3,742 families affected by the fire were given financial assistance, and 8,548 homeless were sheltered.

the current administration also led people with disabilities where it distributed approximately 460 wheelchairs, walkers, and walking aids. up to 3,000 young people with special needs were given attention.

""It's a good thing here in Manila, there is another kind of epidemic, not the vicious but the virtuous kind, that is the epidemic of compassion,"" said Domagoso.

#alertomanileno #bagongmaynila"
29,"no walk-in: will not accept “walk-in clients” at the drive-thru vaccination site in luneta tomorrow, saturday, july 31st.

the only ones to be vaccinated are those who have made a reservation on the website www.manilacovid19vaccine.ph. slots are limited here.

below is the process in the city of manila for those wishing to reserve their slot.

if you don't see a day or slot on the website, it just means there is no slot yet. just wait for the next announcement.

#alertomanileno #covid19ph"
30,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 28, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination will be conducted for overseas filipino workers (ofws) at the san andres sports complex. no walk-in clients allowed for this vaccination site.

at the same time, there will be a second dose vaccination of sinovac for those belonging to the a1, a2, a3, a4, and a5 priority groups at 18 school sites in the city.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
31,"see: manila city mayor francisco 'isko moreno' domagoso previews the new dialysis center of sta. ana hospital which is one of the six lgu hospitals of the city.

according to the mayor, the local government aims to improve its medical facilities to address other diseases while continuing its fight against the threat of covid-19.

the new dialysis center has 11 seats and six hemodialysis machines, an ecg machine, suction machine, hepa filter, ecart with medications, digital wheelchair weighing scale, and new computers.

it is also able to care for 26 patients per month who undergo dialysis three times a week.

In this regard, Mayor Isko assured that lgu manila will continue to deliver quality medical services especially to patients in critical condition.

(photos by christian turingan / mpio)

#alertomanileno #covid19ph"
32,"my grandparents, we have already signed the php 62,454,000.00 cash assistance for our 22,989 senior citizens in district 2. from january to june 2021 we signed the cash assistance earlier, and the distribution to the staff will soon begin of the office of the mayor and senior citizens affairs office to you. we will all always be careful.

manila, god first! —Mayor isko moreno domagoso"
33,"see: mayor isko moreno conducted a surprise inspection at the san andres sportrs complex this wednesday, july 21, in connection with the ongoing vaccination for those in the a1, a2, a3, a4, and a5 priority groups.

according to domagoso, the manila city government has already sent additional doses to attract more people who want to be vaccinated today.

(photos by christian turingan/mpio)

#alertomanileno #covid19ph"
34,"important notice from the manila health department: we will not be vaccinating against covid-19 tomorrow, friday, august 6.

stay tuned to our social media pages for more information regarding the vaccination schedule in the city of manila.

thank you very much.

#alertomanileno #covid19ph"
35,"breaking: the manila city government has administered about 1,000,000 covid-19 vaccines since vaccination rollouts began in the nation’s capital.

as of 9:04 am, the local government administered about 1,000,021 vaccines.

#alertomanileno #covid19ph"
36,capital report | ayuda update for ecq | vaccination update | new vaccine deployment update by doh under ecq | itanong mo kay yorme!
37,"city ​​health advisory: we don't have covid-19 mass vaccination tomorrow, friday, july 30.

The vaccination will continue in the city this coming Saturday, July 31.

stay tuned to our social media pages for more updates regarding manila covid-19 mass vaccination.

thank you very much.

#alertomanileno #covid19ph"
38,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, august 1, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the second dose of sinovac vaccination will be conducted on those belonging to the a1, a2, a3, a4, and a5 priority groups that were first vaccinated on july 4, 2021. it will be held at four mall sites and 18 school sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
39,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 20, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at 12 school sites and san andres sports complex.

those belonging to the a1, a2, a3, a4, and a5 priority groups who were first vaccinated on June 22, 2021 will receive their second dose of sinovac. It will be held at six school sites and four mall sites.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
40,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 24, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted at 17 school sites, four mall sites, and at holy trinity academy.

those belonging to the a1, a2, a3, a4, and a5 priority groups who did not attend their second dose vaccination schedule from May 13 to July 19, 2021 will also receive their second dose of pfizer. it will be held at the universidad de manila.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
41,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 27, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to the a2 and a3 priority groups will be conducted at the university of santo tomas gymnasium.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
42,"launching of drive-thru vaccination on saturday | covid-19 update | mass vaccination update

#alertomanileno"
43,"see: general community quarantine with heightened restrictions is currently being enforced in the city of manila starting this saturday, july 31st, until thursday, august 5th.

for public guidance, here are the things to keep in mind now gcq with heightened and additional restrictions.

(materials by carlo asoro/mpio)

#alertomanileno #covid19ph"
44,"city health advisory: all individuals who want to avail free rt-pcr swab test at the sta. ana hospital are required to follow the steps below:

1. request for schedule thru e-mail at sahrtpcr20@yahoo.com and wait for your schedule that will be sent to your e-mail
2. pre-register at https://sahrtpcr7.iteasyservices.com/#
3. print the cif form with the qr code
4. proceed to sta. ana hospital swabbing area on the day of schedule given. bring the printed cif form with qr code, 2 valid identification card photocopies, and 1 philhealth id photocopy.

please present all required documents to the staff on duty at the swabbing area.

please be reminded that no printed cif form with qr code, no swabbing.

this shall take effect on july 19, 2021.

#alertomanileno #covid19ph"
45,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, august 2, in the city of manila.

Important note for everyone:

vaccinations will be held from 5:00 pm to 5:00 am.

the second dose of sinovac vaccination will be conducted for workers in the divisoria who were first vaccinated on July 4 and July 5, 2021.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
46,"if singapore did it, manila can do it. the houses we built will restore dignity to the life of the manileno. there will be an opportunity for them.

francisco 'isko moreno' domagoso
mayor, city of manila
on the housing projects of the city government"
47,"extreme weather alert: the manila disaster risk reduction and management office (mdrrmo) monitored some flooded areas in the city of manila early saturday, july 24, following continuous heavy downpour.

the following are the areas with gutter deep to half tire deep flood

gutter deep (passable to all types of vehicles)
fugoso st. going to quiricada st.
quintos st. going to lacson ave
roxas blvd. cor. pedro gil
roxas blvd. cor. kalaw
roxas blvd. cor. katigbak
espana cor. dela fuente
finance road
un kalaw
taft luneta
padre faura infront of pgh
m. adriatico infront of robinsons place manila
padre faura cor. mabini to un avenue

half knee level (not passable to light vehicles)
avenida to doroteo jose station

half tire level (not passable to light vehicles)
baseco exit
taft kalaw
kalaw to roxas blvd
un station
taft nbi
quirino station
padre faura
p. ocampo
quirino going to vito cruz
p. ocampo to roxas blvd

moderate to at times intense rains is expected to prevail over the nation's capital. the public are highly advised to take extra precautions amid the inclement weather.

#alertomanileno"
48,"'peace continues in the city of manila'

mayor francisco 'isko moreno' domagoso is set to report on the government's uninterrupted response and action in his third ""state of the city address.""

it can be watched live on the official facebook page of our capital city at 11:00 am on Thursday, July 15, 2021.

#alertomanileno #bagongmaynila"
49,"look: manila city mayor francisco 'isko moreno' domagoso led the inauguration of the newly renovated moriones plaza linear park and center island on monday, july 12.

domagoso was joined by manila city vice mayor honey lacuna-pangan, city engr. armand andres, city electrician randy sadac, arch. ely balmoris, and barangay officials in moriones.

the redevelopment of moriones plaza linear park and center island was made in line with the city's aim to have more green and open spaces for the public.

(photos by christian turingan/mpio)

#bagongmaynila"
50,covid situation in manila
51,"attention. please share with your loved ones.

the mass vaccination against covid-19 will continue tomorrow, august 4, in the city of manila.

Important note for everyone:

the vaccination will be held until 7 pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

note for those first vaccinated at holy trinity academy: your 2nd dose vaccination will be conducted at graciano lopez jaena elementary school.

the second dose of sinovac vaccination will be given to those belonging to the a1, a2, a3, a4, and a5 priority groups who were first vaccinated on July 6, 2021 only. it will be held at four mall sites and 18 school sites.

for all vaccinators, please show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
52,"attention. please share with your loved ones.

the covid-19 mass vaccination will continue tomorrow, july 19, in the city of manila.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to a1, a2, a3, a4, and a5 priority groups will be conducted in six lgu hospitals.

those belonging to the a2 and a4 priority groups who were first vaccinated on June 21, 2021 will receive their second dose of sinovac. It will be held at four mall sites.

the second dose of sputnik v vaccination will be performed for individuals belonging to the a1, a2, a3, a4, and a5 priority groups who were first vaccinated on june 2 to june 8.

note: all those vaccinated on june 2 to june 8 who did not return to the hospital and community sites for their second dose vaccination can receive their second dose of vaccination tomorrow at the san andres sports complex.

at the same time, those belonging to the a1, a2, a3, and a5 priority groups who were first vaccinated on June 21. will also have a second dose vaccination of sinovac at 18 school sites.

note: all those who get their first dose of vaccine at rafael palma elementary school will receive their second dose of vaccine at margarita roxas elementary school.

this is while the manila department of social welfare is using rafael palma elementary school as an evacuation site for families affected by the fire in brgy. 767 on July 15.

for all vaccinators, just show your printed waiver form or qr code for verification.

Please also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site. thank you very much.

manila, god first! ☝️ —mayor isko moreno domagoso"
53,"filipina pride!

Thank you so much hidilyn for your demonstrated weightlifting skills! you have given inspiration and hope to every Filipino that no matter what trial we face, we can overcome it.

keep sailing and overcome every challenge you face in life!

long live you hidilyn!

- mayor isko moreno domagoso"
