,post
10,"liquor ban ug curfew sa cebu city

gidili na ang pag-inum og mga ilimnong makahubog sa mga pampublikong lugar sa cebu city sud sa usa ka buwan human gipirmahan ni acting cebu city mayor michael rama ang executive order no. 136.

ubos usab sa maong eo, subling gimando ang pag-implementar sa curfew gikan sa 10:00 sa gabii hangtod sa 4:00 sa buntag nunot sa pagsaka sa kaso sa mga nagpositibo sa covid-19 sa syudad.

gihangyo ang publiko sa pagtuman sa maong mga lagda aron kapugngan ang pagsaka pa sa mga kaso sa mga nagpositibo sa covid-19."
11,"mayor labella lakip sa top 10

anaa sa top 10 si cebu city mayor edgar labella sa mga mayor sa tibuok nasud nga nalakip sa job approval rating of city mayors/per regional center nga gihimo sa rp-mission and development foundation inc."
12,"gisugdan na sa mga sakop sa cebu city covid action team ang mas hugot pa nga pagpatuman sa health protocol sa tibuok syudad sa unang adlaw sa pagpatuman sa mecq.

gisuroy sa team nga gipanguluhan ni probe chief raquel arce ang dalan colon aron pahimangnuan ang publiko kabahin sa mga lagda sa syudad.

hangyo sa mga sakop sa cebu city covid action team nga magtinabangay ang tanan."
13,"#pabakunata update: alang sa kasayuran sa tanan, mao kini ang schedule sa atong mga vaccination sites sa cebu city karong adlawa, hulyo 26, 2021.

alang sa wa pa makaparehistro, rehistro lang online pinaagi sa pabakunata.com."
14,"pahibalo sa tanan

sirado ug walay pagahimuon nga vaccination sa tanang vaccination sites dinhi sa cebu city, ugmang adlawa, martes, hulyo 20, 2021 sanglit naghuwat pa ang city government og dugang supply sa vaccine ug agig pagsaulog sa eid’l adha o feast of sacrifice.

let everyone know

closed and no vaccination will be held at all vaccination sites here in cebu city, tomorrow, tuesday, july 20, 2021 while the city government is still waiting for more supply of vaccine and to celebrate eid ' l adha or feast of sacrifice."
15,"abli ang tanan nga vaccination sites nga anaa mahimutang sa university of cebu senior highschool department, banilad, university of cebu senior high school campus sa j. alcantara st., robinsons galleria, sm seaside city cebu, noah complex, ug ayala center cebu karong adlawa, hulyo 22, 2021.

gipahimangnuan ang tanan nga magpabakuna nga magdala og vaild id, kaugalingon nga ballpen, ug padayon nga tumanon ang mga minimum health protocol aron nga malikayan ang pagkaylap sa covid-19."
16,"si kinsa man kadtong wala pa mabakunahi sa covid-19 ug interesadong magpabakkuna karong adlawa hulyo 8,2021 ang registration site nga anaa mahimutang sa plaza sugbo atubangan sa cebu city hall nagtanyag niadtong buot magpabakuna karong adlawa nga magparehistro na online sa plaza sugbo aron kamo mabakunahan dayon.

human sa pagpareshitro, ang cebu city government niandam usa ka bus nga maoy mohatud sa magpabakuna paingon sa new oasis for adoptation and a home (noah) complex nahimutang diha sa south road properties (srp).

kun humana sila sa pagpabakuna, mosakay sila balik sa bus ug ihatud napud paingon sa cebu city hall.

ang registration hangtud pa karung hapon, palihug si kinsa kadtong interesado anhi nalang sa plaza sugbo.

anyone who hasn't been vaccinated with covid-19 and interested in vaccinating today july 8,2021 the registration site available at plaza cebu in front of cebu city hall offers those who want to vaccinate today register online at plaza sugbo to you guys get vaccinated immediately.

after pareshitro, cebu city government prepared a bus that will deliver vaccinators to the new oasis for adoptation and a home (noah) complex located at south road properties (srp).

when they are done with the vaccination, they will get back on the bus and bring it to cebu city hall.

registration is still until this afternoon, please those who are interested just come to plaza cebu."
17,"kapin 600 ka mga vendors ang nakabalik na sa pagpaninda sa mga sidewalk dinhi sa dakbayan sa sugbo human gimando ang paghawan niadtong tuig 2019 sa department of interior and local government (dilg) ubos sa kamandoan ni presidente rodrigo duterte.

nagsugod sa pagpaninda ang mga vendors niadtong biyernes hulyo 2, 2021 apan anha ra sila makapaninda nga dunay 2.5 ang gilapdon niini.

niadtong lunes petsa 5 ning buwan sa hulyo, si konsehal renato osmeña jr., chairman sa committee on market sa konseho sa dakbayan sa sugbo nisuroy ug nihimo inspeksyon sa sidewalk, uban sa pangulo sa prevention restoration order beautification enhancement kon probe raquel arce, cebu city transportation office head lyntoni alburo, city enforcement sanitation and enforcement team (ceset), market operation division, department for the welfare of the urban poor (dwup), cebu city anti mendicancy board ug pangulo sa cebu city united vendors association maria pino.

si arce nibutyag ang pagpabalik sa mga vendors subay sa rekomendasyon sa gasa kun garbo asenso sumbanan alyansa ug dunay ordinansa nga naghatag og kahigayonan nga mapaminaw ang yango-ngo sa mga vendors.

ang gibuhat sa city government ubos sa administrasyon ni mayor labella ug bise mayor michael rama, mga sakop sa konseho, gikalipay og maayo sa mga vendors nga nakabalik na sila sa pagpaninda nga maoy gikuhaan nila sa tanan nga panginahanglan sa inadlaw-adlaw para sa ilang pamilya sama nilang virgilio 47-anyos taga buhisan ug marissa taga capitol site nga pila na katuig naninda sa sidewalk."
18,ania ang mga hotlines nga mamahimong tawagan kon duna mo'y mga covid-19 related concerns gikan sa cebu city emergency operations center.
19,"mapasalamaton si cebu city mayor edgar labella sa mga pag-ampo sa tanan samtang nagpaalim siya sa iyang balatian.

cebu city mayor edgar labella is grateful for everyone's prayers as he undergoes his heart.

edgar labella
july 31 at 10:11 am ·

maayong buntag!

i would like to inform everyone na i’m alive and doing well. kini tungod sa tanan mga nag ampo ug nagpadayag sa ilang pagsuporta. daghan kaayong salamat ug mag amping kitang tanan."
20,"ave maria!!!
pope francis: "" if you want to see jesus, knock at the heart of his mother mary; and mary will bring you to where her son jesus is."""
21,"abli ang tanang vaccination sites sa cebu city karong adlawa alang sa 1st dose ug 2nd dose sa pag-bakuna.

gipahimangnuan ang tanan nga magpabakuna nga magdala og vaild id, kaugalingon nga ballpen, ug padayon nga tumanon ang mga minimum health protocol aron nga malikayan ang pagkaylap sa covid-19.

alang sa mga buot magpa rehistro, i-click lang ang pabakunata.com"
22,"gisugdan na sa cebu city government ang pagbakuna gamit ang single-shot nga johnson & johnson nga bakuna nga gipahigayon sa noah mega vaccination site ug sm seaside city cebu karong adlawa, hulyo 26, 2021.

ang johnson & johnson nga bakuna exclusive lang sa mga senior citizens dinhi sa dakbayan sa sugbo nga human na nga naka-parehistro na sa pabakunata.com."
23,"pila ka adlaw nga nagsigi saka ang kaso sa covid-19 dinhi sa dakbayan sa sugbo, ang mga sakop sa cebu city transportation office (ccto) nipahugot sa ilang pagbantay sa mga pampublikong sakyanan pinaagi sa pagpanakop sa nag-overloading.

giawhag sa ccto ang publiko ilabina kadtong sumasakay matag adlaw nga magmatngon kanunay aron malikay kita nga matakdan sa virus sa covid-19.

dugang awhag sa ccto sa publiko nga di nalang mopugos og sakay kun sa tan-aw nila nga puno na sa pasahero ang usa ka pampublikong sakyanan.

mas maayu nga magpabakuna ang tanan aron duna kitay panagang batok sa virus sanglit inyung hinumdoman nga matag adlaw mopauli kamo sa inyong tagsa-tagsa ka panimalay uban sa inyong pamilya nga posibling makatakod kanila."
24,"moabot sa 80 ka modern public utulity jeepney (mpuj) ang bag-ong magdagan dinhi sa dakbayan sa sugbo ug lungsod sa liloan.

karong adlawa, biyernes, hulyo 16, 2021 gipahigayon ang ribbon cutting sa 80 ka units sa mpuj diha sa el corso sa south road property (srp) nga gipasiugdahan ni ltfrb-7 director eduardo montealto jr., nitambong sab si lto-7 director victor caindec.

si montealto niingon nga human sa kalihokan ihatag nila ang provisional authority ngadto sa tulo ka operators, duha niini cooperative ug usa ka corporation. kini maoy unang higayon nga tulo ka operators ang nagdungan.

ang 65 ka units magdagan sa mga rota dinhi sa dakbayan sa sugbo samtang ang 15 ka units magbiyahian sa rota sm cebu to liloan.

human sa kalihokan hatagan sa ltfrb special permit ang 80 ka units aron makabyahe dayon pagka sunod adlaw.

sa pagka karon moabot sa 721 ka modern jeepney ang nagdagan sa 65 ka rota dinhi sa dakbayan ug metro cebu ug probinsya.

the new runner will arrive at 80 modern public utulity jeepney (mpuj) in cebu city and liloan town.

today, friday, july 16, 2021 the ribbon cutting of 80 units of mpuj was held in el corso at south road property (srp) promoted by ltfrb-7 director eduardo montealto jr., lto-7 director victor caindec also attended.

montealto said that after the event they will hand over the provisional authority to three operators, two of them cooperative and one corporation. this is the first time three operators have come together.

65 units will run the routes here in cebu city while 15 units are going to travel the route sm cebu to liloan.

after the event ltfrb special permit will be given 80 units to travel immediately the next day.

so far 721 modern jeepneys are running 65 routes here in the city and metro cebu and province."
25,"gibuksan na karong adlawa, hulyo 12, 2021, ang ika-6 nga vaccination site nga gibutang sa cebu city governnent alang sa padayon nga vaccination program dinhi sa dakbayan sa sugbo nga anaa mahimutang sa ayala center cebu, south entrance duol sa uniqlo.

usa ka ceremonial cutting of mask ang gipahigayon alang sa official opening sa maong vaccination site nga gipangunahan ni dr. jeffrey ibones, ang nangulo sa cebu city vaccine operations center ug oic sa cebu city health department, engr. miguel gerson gikan sa department of health central visayas, jia sadol, ang general manager sa ayala center cebu, ug councilor dondon hontiveros.

ang maong vaccination site maka-accommodate og 500 ka mga ka mga magpa-vaccine ug mo-cater sa priority list gikan a1 to a5.

sa pagkakaron, ang cebu city government aduna nay 6 ka vaccination sites nga nahimutang sa robinsons galleria, uc banilad senior highschool department, uc senior highschool campus, sm seaside city cebu, noah complex, ug ayala center cebu."
26,"press conference of acting mayor michael rama, wednesday, july 28, 2021."
27,"abli ang mga vaccination centers nga anaa mahimutang sa university of cebu senior highschool campus, j. alcantara st., university of cebu senior highschool department, banilad, ug robinsons galleria karong adlawa, hulyo 8 hangtod 9 ug 12 hangtod 13, 2021, aron mo-cater sa mga magpabakuna sa ilang 2nd dose sa pfizer vaccine.

samtang ang vaccination center nga anaa mahimutang sa sm seaside city cebu ug noah complex abli alang sa mga naka schedule nga magpabukana sa ilang 1st dose karon ug ugmang adlawa.

gipahibaw ang mga magpabakuna nga magdala og ballpen, faceshield, facemask, sanitizer, ug valid id.

giawhag ang tanan nga padayon gihapon nga tumanon ang mga minimum health protocols sama sa physical distancing, pagsul-ob og facemask ug faceshield, ug uban pa.

vaccination centers open available at university of cebu senior highschool campus, j. alcantara st., university of cebu senior highschool department, banilad, and robinsons galleria today, july 8 to 9 and 12 to 13, to cater to those who will vaccinate their 2nd dose of pfizer vaccine.

while the vaccination center available at sm seaside city cebu and noah complex is open for those who are scheduled to open their 1st dose today and tomorrow.

those who will be vaccinated are advised to bring ballpen, faceshield, face mask, sanitizer, and valid id.

all are encouraged to still obey minimum health protocols such as physical distancing, wearing of facemask and faceshield, etc."
28,"press conference of acting mayor mike rama, august 4, 2021."
29,"aduna pa’y available slots ang department of manpower placement and development alang sa ilang 3rd quarter online class 2021 nga naglangkob sa dressmaking morning schedule, static web design afternoon schedule, hilot/massage afternoon and evening schedules, ug housekeeping morning schedule.

alang sa mga interesado mo-avail, mamahimong mo walk-in sa opisina sa dmdp sa 2nd floor sa ramos public market gikan sa 8:00 sa buntag hangtod 5:00 sa hapon.

ang enrollment hangtod ugmang adlawa, hulyo 16, 2021. alang sa dugang pangutana mamahimong mangutana sa dmdp sa 407-7030."
30,"cebu city public information office added a new photo — in philippines.
august 2 at 10:38 am ·
more options

base sa datos gikan sa cebu city vaccination operations center (voc), moabot na sa 187,524 ang total administered doses sa coronavirus disease 2019 (covid-19) vaccines dinhi sa dakbayan sa sugbo sukad niadtong marso 24, 2021 hangtod agosto 2, 2021."
31,"sa pakig-alayon sa emergency rescue unit foundation, ang cebu city government mipahigayon og vaccination sa mga senior citizens sa usa ka home for the aged sa barangay san jose ning syudad karong adlawa, agusto 6, 2021."
32,"tungod sa padayon nga pagtaas sa kaso sa coronavirus disease 2019 (covid-19) dinhi sa dakbayan sa sugbo, nangandam ang cebu city government og pagbutang og dugang nga isolation facility nga ipahimutang sa cebu city sports complex (ccsc) alang sa mga asymptomatic nga covid-19 nga mga pasyente.

temporaryong gisira una ang badminton gym sa publiko tungod kay didto ibutang ang mga higdaanan alang sa mga pasyente.

moabot sa 250 ang bed capacity nga anaa ibutang sa may badminton area nga gi andam alang sa mga covid-19 asymptomatic nga mga pasyente.

sa pagkakaron, padayon gihapon ang gihimo nga pagpangandam sa himuonon nga isolation facility sa ccsc. ang mga sakop gikan sa ccsc nagpadayon og pamutang og mga higdaanan nga gamiton sa mga pasyente.

matod ni usab ni jundel bontuyan, ang manager sa ccsc, ila na usab gihawanan ang mga rooms alang pagpangandam usab kung in case mo saka pamaayo ang kaso ug kung kinahanglan na, andam na ang uban nga mga rooms.

base sa datos gikan sa department of health central visayas (doh-7), sa pagkakarong adlawa, moabot na sa 2,355 ang active cases sa covid-19 dinhi sa dakbayan sa sugbo.

subling gipahimangnuan ang tanan nga magbinantayon ug higpit nga sundon ang mga minimum health protocols sama sa physical distancing, pagsul-ob og facemask ug faceshield, ug magpuyo sa panimalay kung walay importante nga buhaton sa gawas.

due to the continuous rise in cases of corona disease 2019 (covid-19) here in cebu city, cebu city government is preparing to put up an additional isolation facility that will be set up at cebu city sports complex (ccsc) for asymptomatic covid-19 patients.

the badminton gym was temporarily demolished to the public because the beds were put there for the patients.

up to 250 the bed capacity available in the badminton area prepared for covid-19 asymptomatic patients.

as of now, preparations are still being made at ccsc's practical isolation facility. members from ccsc continue to lay beds for patients to use.

jundel bontuyan, the manager of ccsc, said again, they have left the rooms for preparation also if in case you go up the case and when needed, the rest of the rooms are ready.

based on data from department of health central visayas (doh-7), as of today, the active cases of covid-19 will be up to 2,355 here in cebu city.

subling is encouraged to all be vigilant and strictly follow minimum health protocols such as physical distancing, wear a face mask and faceshield, and stay at home when there is nothing important to do outside."
33,"nagsugod karong adlawa, hulyo 26, 2021 ang cebu city government sa pagbakuna gamit ang single shot nga johnson & johnson nga bakuna sa noah mega vaccination site.

ang johnson & johnson nga bakuna exclusive lang sa mga senior citizens nga naka-rehistro na sa pabakunata.com."
34,"nadawat na sa cebu city government ang 9,731 ka mga cash card alang sa mga senior citizens sa south district ug north district, martes, hulyo 13, 2021.

si vivian visnar, ang branch manager sa land bank of the philippines cebu plaza independencia branch, maoy naghatud sa mga cash card aron magamit dayon sa mga senior citizens nga rehistrado sa office of the senior citizens affairs (osca).

si jeffrey ocampo, ang pangu sa osca, mihangyo sa ubang membro nga e-proseso na ang ilang application form ngadto sa iyang buhatan aron sayon nalang unya kanila ang pagkobra sa ilang binuwan nga financial assistance.

niining higayona mas dali na unya ang pagpanghatag ug dili na kinahanglan nga adtoon pa sa matag panimalay ang ilang binuwan nga hinabang gikan sa cebu city government.

cebu city government has received 9,731 cash cards for senior citizens in south district and north district, tuesday, july 13, 2021.

vivian visnar, the branch manager of the land bank of the philippines cebu plaza independencia branch, delivered cash cards so that senior citizens registered in the office of the senior citizens affairs (osca) can be used.

jeffrey ocampo, the ceo of osca, asked other members to process their application forms to their work so that it will be easy for them to have more financial assistance.

this time giving is faster and there is no need for their monthly rent from cebu city government to go to every household."
35,"sa labing unang higayon, nakuha sa cebu city government ang “unmodified opinion” sa annual audit alang sa tuig 2020 nga gihimo sa commission on audit (coa) ubos sa administrasyon ni mayor edgar labella.

unsay pasabot niini? ania si city accountant jerome ornopia ug city treasurer mare vae reyes aron mas mapasabot pa kini."
36,"luwas nga na rescue sa mga tinugyanan sa cebu city disaster risk reduction management office ang usa ka lineman sa usa ka telecommunications company nga nakuryentihan diha duol sa el corso sa south road properties.

gidala na sa hospital ang maong lineman."
37,"moabot 22 ka violators ang naisyuhan samtang 7 ka motorsiklo ang na-impound tungod kay expired og walay rehistro ang maong mga sakyanan atol sa hiniusang checkpoint sa land transportation office 7, highway patrol group 7 ug cebu city transportation office nga gipahigayon sa south road property karong adlawa, hulyo15, 2021."
38,"alang sa kasayuran sa tanan, ang night parking sa mga sidewalk ug kadalanan gidili basi sa ordinansa sa dakbayan sa sugbo.

ang cebu city transportation office (ccto) niawhag sa publiko nga dili magpasagad og parking sa ilang motorsiklo sa mga kadalanan dinhi sa syudad.

sayo karung buntag sa adlaw’ng huwebes, hulyo 22, 2021 ang ccto nipahigayon og operasyon sa pipila ka mga lugar sa syudad diin nakakarga sila og 30 ka motorsiklo diha sa may cabantan, barangay luz, salinas drive, gorordo ave., ug sudlon, lahug.

nanghinaut ang ccto nga unta padayong magmatngon ang publiko sa dili pagpataka og parking sa mga sakyanan aron dili ma-clampan."
39,15th sangguniang panlungsod annual organizational session.
40,"gi-turn over sa cebu city government ang upat ka toyota hilux pick up nga sakyanan ngadto sa cebu city police office (ccpo) karong adlawa, hulyo 13, 2021 ug mismong si pnp chief guillermo t. eleazar ang midawat diha sa camp sotero cabahug sa gorordo avenue.

si atty. rey gealon, pangu sa city legal office, maoy representante ni mayor edgar labella ug maoy mi-turn over sa upat ka sakyanan ngadto ni pnp chief eleazar ug ccpo director josefino ligan.

lakip sa pinasidungan dinapit sa ccpo mao sila si konsehal philip zafra ug joel garganera, pro-7 director ronnie montejo ug uban pang mga dagkong opisyal gikan sa camp crame.

sa mensahe ni gealon siya nagkanayon nga saludo si mayor labella sa pnp sa serbisyo ug sakripisyo ngadto sa katawhang sugboanon sa padayong pakig-gubat sa covid-19 ingon man sa kampanya batok sa kriminalidad ug illegal drugs.

si gen. eleazar mapasalamaton usab sa city government nga gipanguluhan ni mayor labella sa padayong suporta sa kapolisan."
41,"mi-turn over og 150 units nga globe at home prepaid wi-fi router ang ayala foundation incorporated sa department of education (deped) cebu city karong adlawa, hulyo 9, 2021.

moabot sa 15 ka mga public schools dinhi sa dakbayan sa sugbo ang makabenepisyo sa wi-fi router nga gi-donar sa ayala foundation incorporated.

lakip sa mga public schools nga makadawat alang sa north district mao ang tejero elementary school, zapatera elementary school, camputhaw elementary school, city central elementary school, mabolo elementary school, hipodromo elementary school, ug lahug elementary school.

samtang sa south district public schools lakip sa makadawat mao ang don vicente rama memorial elementary school, pardo elementary school, punta princess elementary school, inayawan elementary school, san nicholas elementary school, banawa elementary school, pasil elementary school, ug buhisan elementary school.

ang deped cebu city nga gipangulohan ni dr. rhea mar angtud, ang deped cebu city superintendent, mapasalamaton sa gihatag nga mga wi-fi routers sa ayala foundation.

mitambong sa turnover ceremony si dino abellanosa, ang marketing head sa ayala foundation, steve gingco, ang president sa ayala business club-cebu, adonis evangelista, ang region sales head sa globe, melissa dela cruz, kinsa maoy ni-representa alang sa cebu city government ug ang bag-o nga chairman sa local school board (lsb), ug pipila ka mga school heads ug representante sa 15 ka mga beneficiaries."
42,"hugot nga gipatuman sa cebu city transportation office (ccto) ang 75% nga kapasidad sa pampublikong mga sakyanan nga nagbiyahian dinhi sa dakbayan sa sugbo.

kini subay usab sa kamandoan sa iatf aron pagkontrolar sa padayong pagkatap sa covid-19 ilabina karon nga duna nay nakasulod nga kaso sa delta variant sa syudad.

sa mga violators nga madakpan sama sa driver, konduktor o pasahero, mahimo kamong ma-balhog ug makamulta adto sa cogon ramos gym samtang sa south area adto sa labangon gym.

ang mga modern jeepneys, kinahanglan abli ang pultahan ug bintana samtang ang taxi abli ang mga bintana 3-5 inches.

sa mga pasahero , kinahanglan nga magsul-ob flfacemask, faceshield ug valid id maoy dalhon pirme sa inyong paglakaw-lakaw.

awhag sa ccto ang pagtinabangay sa tanan kay para raman kin isa atong kaluwasan niining giatubang karon nga pandemya."
43,"cebu city public information office added a new photo.
july 19 at 10:12 am ·
more options

base sa datos gikan sa cebu city vaccination operations center (voc), moabot na sa 139,186 ang total administered doses sa coronavirus disease 2019 (covid-19) vaccines dinhi sa dakbayan sa sugbo sukad niadtong marso 24, 2021 hangtod hulyo 19, 2021.

sa pagkakaron, lima lang ka vaccination sites ang abli. lakip niini ang mga vaccination sites nga anaa mahimutang sa university of cebu senior high school campus sa j. alcantara st., robinsons galleria, sm seaside city cebu, noah complex, ug ayala center cebu."
44,"gibisita ni cebu city acting mayor michael rama ang cebu city quarantine center (ccqc) karung adlawa, huwebes, agusto 5, 2021.

matod ni rama ang cebu city government padayong nagmonitor sa atong temporary treatment monitoring facility sama sa ccqc nga karun anaa gipahiluna ang mga covid patients nga mga residente sa dakbayan sa sugbo.

sa kasamtangan, ang ccqc adunay 149 ka pasyente nga mild, moderate, severe symptoms sa covid-19 lakip niini ang dialysis patients.

cebu city acting mayor michael rama visited cebu city quarantine center (ccqc) today, thursday, august 5, 2021.

rama said the cebu city government is continuously monitoring our temporary treatment monitoring facility like ccqc which is now available to keep covid patients who are residents of cebu city.

meanwhile, ccqc has 149 patients with mild, moderate, severe symptoms of covid-19 including dialysis patients."
45,"sa labing unang higayon, nakuha sa cebu city government ang “unmodified opinion” sa annual audit alang sa tuig 2020 nga gihimo sa commission on audit (coa) ubos sa administrasyon ni mayor edgar labella.

ang unmodified opinion maoy pinaka taas nga rating nga mahatag sa coa sa usa ka government office ug nagpasabot nga ang pag-gasto sa syudad sa kwarta sa katawhan nahisubay sa mga lagda sa balaod ang pag-gasto sa kwarta sa syudad agig pagtuman sa international public sector accounting standards (ipsas)."
46,"aduna ba kamo’y nakit-an nga namutol og kahoy?

ang cebu city environment and natural resources office (ccenro) nanawagan sa publiko sa tawag sa ilang buhatan pinaagi niini nga mga numbers: 0977 368 1034 ug 0945 186 1103 aron sa pag-verify kon adunay permit ang maong pagpamutol og kahoy.

niadtong miaging semana, ang ccenro mitawag sa atensyon sa mga contractor sa visayan electric company (veco) nga namutol og kahoy human makadawat ang ilang buhatan og sunod-sunod nga mga reports nga nga adunay mga kahoy nga gipangputol sa mga contractors sa veco ilabina diha sa atubangan sa campus sa sc-sit sa n. bacalso ave., syudad sa sugbo.

daling gitawagan sa ccenro ang mga hingtungdan contractor aron patubagon sa mas daling panahon bahin sa ilang pagpamutol sa kahoy.

pahimangnu sa ccenro sa mga contractor sa veco nga kutob lang gyud sila sa trimming ug pruning sa mga kahoy nga maka-apekto sa mga linya sa kuryente."
47,"cebu city government's flag raising ceremony, monday, july 19, 2021."
48,"gituman ni cebu city mayor edgar labella ang iyang saad sa mga medical frontliners nga gipadala sa national capital regional kon ncr plus atol sa pagsaka sa kaso sa mga nagpositibo sa covid-19 sa kaulohan human nila madawat ang ilang tag p30,000 nga allowance gikan sa cebu city government karong adlawa, hulyo 12, 2021.

kahinumdoman, niadtong buwan sa abril ning tuiga, ang sugbo nagpadala og mga medical frontliners aron motabang sa mga covid-19 patients sa ncr plus.

atol sa send-off ceremony si mayor labella misaad nga hatagan niya og tag p30,000 ang mga medical frontliners nga nunot sa ilang tulo ka buwan nga pag-serbisyo sa mga covid-19 patients didto sa ncr plus.

moabot sa 80 ka medical frontliners ang makadawat sa maong kantidad."
49,"cebu city government's flag raising ceremony, monday, july 12, 2021."
50,"laing pasidungog na usab ang nadawat sa cebu city government gikan sa national childrens commission (ncc).

ang ncc mihatag sa seal of child-friendly local governance sa cebu city government nunot sa suporta sa katungod sa kabataan labi na sa survival, development, protecton and participation of governance.

pormal nga gidawat ni atty. mary rose lubino, ang chief-of-staff ni mayor edgar labella ang award gikan ni atty. ian kenneth lucero, pangu sa dilg cebu city."
51,"usa ka eucharistic mass ug flag raising ceremony ang gipahigayon karong buntaga, hulyo 7, 2021, isip pasiunang mga kalihukan alang sa annual organizational session sa 15th sangguniang panlungsod sa syudad sa sugbo.

mi-attend sa misa ang mga opisyal sa city council nga gipangunahan ni vice mayor michael rama kauban ang mga city councilors gikan sa north district ug south district ning syudad.

lakip sab sa mi-attend sa misa ang pipila ka mga pangu ug mga empleyado sa nagkalain-laing departamento ug buhaton sa cebu city government.

usa ka eucharistic mass and flag raising ceremony was held this morning, july 7, 2021, preliminary activities for the annual organizational session at the 15th city council in cebu.

city council officials attended the mass led by vice mayor michael rama together with city councilors from the north district and south district.

some pangu and employees in different departments also attended the mass and will be done by cebu city government."
52,"flag ceremony, monday july 26, 2021."
