,post
10,"#qcprotektodo our partner malls like sm city north edsa!

their frontliners and service providers belonging to the a4 category (essential workers) are 100% vaccinated. here, we can better continue to provide proper and safe service to our qcitizens and to those who visit the mall.

we are still continuously vaccinating the city to reach population protection. to register with qc vax easy for your vaccine, just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

sm city north edsa
July 6 at 6:09 pm ·

110% ready to serve
100% vaccinated

our passion to serve you is immeasurable. that's why in partnership with the quezon city local government, we have vaccinated all of our sm city north edsa frontliners and service providers under the a4 category. and our partner tenants are close to reaching 100% on the way to becoming vaccinated. all for your #safemallingatsm

#togetheratsm, we can overcome as we are now a step closer to a safer place. #qcprotektodo #ingatangatbakunalahat #everythingshereatsm"
11,"mayor joy belmonte, philhealth chief insurance officer jose sidfry panganiban, councilor pm vargas, and social services development department (ssdd) head fe macale led the distribution of philhealth cards to beneficiaries from barangay bagbag.

the philhealth contribution of the beneficiaries who are part of the city's indigent sector is free and responsive to the city government.

according to mayor joy, the target is to provide philhealth to more than 50,000 indigent families in the city so that they do not have to worry about expenses in case anyone in their family is hospitalized.

in addition to philhealth, ssdd also has medical assistance for residents in need of financial assistance to purchase medicine."
12,"ed rempillo and fredd quezada, reporters of philippine star-pilipino star today, donated 500 grocery bags for the quezon city government.

Thank you very much for your support of the local government."
13,"here are the enhanced community quarantine (ecq) guidelines to be implemented in our city from august 6 to august 20, 2021.

the use of kyusipass will also be strictly enforced in establishments for contact tracing of the city.

view and download the full guidelines here: https://quezoncity.gov.ph/enhanced-community-quarantine-ecq-effective-august-06-2021/"
14,"in accordance with the inter-agency task force for the management of emerging infectious diseases (iatf) resolution no. 130-a, general community quarantine (gcq) will be enforced in the national capital region (ncr) with heightened restrictions from july 30 to august 5, 2021."
15,"gusto mo bang maging scholar?

magregister na sa qc e-services at mag-apply ng iyong sariling qcitizen id! parte ito ng requirement sa pag-a-apply sa scholarship program ng lungsod.

para sa iba pang detalye, bisitahin ang qc youth development office facebook page.

qc youth development office
july 30 at 4:17 pm ·

advisory 35-2021

to all interested applicants of quezon city scholarship program for ay 2021-2022

academic year 2021-2022 is fast approaching. therefore, all interested applicants of quezon city scholarship program are advised to register in the qc e-services and apply for qcitizen identification card (qc id) as part of the set requirements for scholarship application.

scholarship application will start in august. please stay updated to qcydo official facebook page for announcements relative to the schedule of scholarship application.

here’s the link for qc e-services registration
https://qceservices.quezoncity.gov.ph/

#spreadjoylovepositivityinqc
#kabataangqckasamakasapagunlad"
16,"as part of the digitalization program of the city’s public services, the quezon city government is set to launch the first online birth registration portal in the country this year.

the project offers a more convenient and efficient birth registration process, where the requirements can be sent thru the website and be verified by the city civil registry department (ccrd).

quezoncity.gov.ph
qc to open first online birth registration portal | quezon city government"
17,"applying for birth registration made easier through the qc e-services!

a first in the country, the quezon city government is set to launch an online birth registration portal to provide more convenient and efficient streamlined services as part of the digitization program of the city.

through the qc e-services website, requirements sent will be verified by the city civil registry department (ccrd), for a hassle-free and convenient birth registration application.

read more about it here: https://quezoncity.gov.ph/qc-to-open-first-online-birth-registration-portal/"
18,"vax card seal advisory

the placement of security seals on qcprotektodo vaccination cards from your district offices has been temporarily suspended while enhanced community quarantine (ecq) is being implemented in the city.

continue to put the seal for those who are scheduled for their second dose this ecq.

thank you very much for your understanding."
19,"we are calling our qcitizens who have already completed two doses of the vaccine and would like to affix a tamper-proof seal to their vaccination card, to simply go to the district office closest to you starting tomorrow, July 27th.

Please note, your vaccination card even without a seal is valid, and this seal is only an additional means for the authentication of your card while we await the uniform vaccination certificate from the national government.

if your relative or family member is a senior citizen or bedridden, you can take it for them. you only need to bring your valid id, authorization letter and id of the vaccinated senior or bedridden.

thank you."
20,"[dswd sap advisory]

the department of social welfare and development (dswd) social amelioration program (sap) for the second batch unclaimed waitlisted will be distributed tomorrow (july 31) in collaboration with our qc social services development department.

the manual payout tomorrow of p8,000 each will take place at the quezon memorial circle-basketball court from 9:00 p.m.

contact your barangay for the schedule and list of eligible beneficiaries. You can also view the list here: https://quezoncity.gov.ph/2nd-batch-dswd-sap-waitlisted-unclaimed-for-manual-payout/

don't forget to bring the requirements when you get your help, you can find the complete list of requirements from the dswd facebook page here: https://www.facebook.com/dswdfoncr/photos/a.824276570949744/4331425843568115/?type=3

there is a designated helpdesk at the payout site if you have a complaint or appeal related to unclaimed and waitlisted beneficiaries.

this is the last time the sap will be distributed, and the uncollected aid will be returned to the national treasury according to dswd."
21,"[dswd sap advisory]

the department of social welfare and development (dswd) will continue to distribute aid from the social amelioration program (sap) for the second tranche unclaimed tomorrow (july 30), and second batch unclaimed waitlisted on saturday (july 31) in collaboration with our qc social services development department.

P8,000 each will be distributed through manual payout tomorrow (July 30) at the following payout sites:

district 1 - quezon memorial circle basketball court
district 2 - quezon memorial circle basketball court (batasan hills, bagong silangan, holy spirit, payatas)
district 2 - benigno aquino elementary school (commonwealth)
district 3 - quezon memorial circle basketball court
district 4 - quezon city high school
District 5 - Happiness Elementary School
district 6 - ismael mathay sr. high school

watch out for the venue on our facebook page on Saturday (July 31) for the second batch of unclaimed waitlisted beneficiaries.

contact your barangay for the schedule and list of eligible beneficiaries. You can also view the list here: https://quezoncity.gov.ph/dswd-sap1-2nd-tranche-unclaimed-for-manual-payout/

don't forget to bring the requirements when you get your help, you can find the complete list of requirements from the dswd facebook page here: https://www.facebook.com/dswdfoncr/photos/a.824276570949744/4331425843568115/?type=3

there is a designated helpdesk at the payout site if you have a complaint or appeal related to unclaimed and waitlisted beneficiaries.

this is the last time the sap will be distributed, and the uncollected aid will be returned to the national treasury according to dswd."
22,"important announcement

missed second dose

for not going to their second dose of pfizer and moderna only, you can be vaccinated at esteban abada elementary school this week, august 8, 2021.

only go at the following times, based on the district that covers the vaccination site of your first dose:
district 1: 8am - 10am
district 2 & 3: 10am - 12nn
district 4: 12nn - 2pm
district 5 & 6: 2pm - 4pm

for those who did not get their second dose of sinovac and astrazeneca contact the district health office that covers the vaccination site of your first dose.

* district 1: 0961-589-54-49
* district 2: 0968-414-79-79
* district 3: 0968-421-26-77
* district 4: 0961-589-54-48
* district 5: 0961-922-57-65
* district 6: 0961-944-18-33

vaccination also continues for those who are bedridden or unable to go to vaccination sites due to their medical condition. simply contact your district health office for an immunization schedule."
23,"the quezon city government distributed vegetables and rice in collaboration with the social services development department (ssdd) and joy of urban farming for the parents of day care center students in the city. up to 1,000 beneficiaries are expected to receive from the community pantry today.

The program aims to help babies in their first 1,000 days from the mother's pregnancy until they are 2 years old. this is for them to have adequate nutrition by distributing vegetables from our community farms.

Malnutrition continues to fight, first 1,000 days focus!

#laking1000
#2021nutritionmonth"
24,"many thanks to the anti-crime and terrorism-community involvement and support (act-cis) partylist, by mr. egay yap, for providing 1000 sacks of rice and canned goods to the city.

we will repack and distribute it to families whose livelihoods have been severely affected by the pandemic."
25,"❌ no to home isolation, ✅ yes to hope facility!

our local government encourages to bring to our isolation facility all patients who test positive for covid-19, with or without symptoms, amid the threat of a more contagious delta variant.

it aims to protect the family of our qcitizens and the entire community and provide appropriate care to covid-19 patients within our hope and village isolation faclities.

you can also message the quezon city epidemiology & disease surveillance facebook page for other questions.

quezon city epidemiology & disease surveillance is sharing a covid-19 update.
July 30 at 1:00 pm ·

home isolation, no longer allowed in qc!

amid the threat of a more contagious delta variant, our city has decided to bring to our isolation facility all patients who test positive for covid-19, with or without symptoms. this also includes those who have come into positive contact (close contact) with covid-19 symptoms.

we aim to protect our family and the entire community. moreover, we want to provide appropriate care to covid-19 patients within our hope and village isolation faclities that they will be temporary homes.

each hope facility has its own clinic, pharmacy and supply room, also has its own vitamins and hygiene kit that will be distributed free to everyone. on-duty doctors and healthcare workers will not lose our facilities to ensure that every patient is well-monitored.

have a question? message on our facebook page!

#qcesuhelps
#hopecaringfacility
#hopefeelslikehome"
26,"here is the general community quarantine (gcq) with heightened restrictions guidelines to be implemented in our city starting july 27, 2021

implement the following:
• 10: 00 pm- 4:00 am public safety hours
• sale of alcohol from 4:00 am to 10:00 pm.
• personal care services such as beauty salons, beauty parlors, barbershops and nail spas may be open from 4:00 am to 10:00 pm
• dine-in is allowed from 4:00 am to 10:00 pm, in accordance with the safety seal program.

businesses are also encouraged to use kyusipass for proper contact tracing of the city.

view and download the full guidelines here: https://quezoncity.gov.ph/gcq-guidelines-as-of-july-27-2021-with-heightened-restrictions/

quezoncity.gov.ph
gcq guidelines - as of july 27, 2021 (with heightened restrictions) | quezon city government"
27,"eight areas in our city are under special concern lockdown areas due to the increasing number of covid-19 cases.

only specific areas are covered by the scla and not the entire barangay.

the local government will distribute food packs and essential kits for the affected families and they will undergo swab testing and mandatory 14-day quarantine."
28,"our #qcprotektodo vaccination program at quezon city hall for those belonging to the a1-a4 priority groups is still ongoing!

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system, or depending on the vaccine supply in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

for more information, just go to our website: https://qcprotektodo.ph"
29,"the quezon city goverment is very grateful to the pldt-smart foundation for providing more than 57,000 vitamin c tablets.

vitamins will be distributed by the local government for poor families in district 2, as well as those temporarily staying at our hope community caring facilities."
30,"eduk-aksyon: mayor's education summit (day 1: thursday | july 29, 2021 | 2:00pm)"
31,"mayor joy belmonte gave a message on the orientation of the beneficiaries from tupad or employment assistance in our disadvantaged/displaced workers program of the department of labor and employment in collaboration with the office of rep. loren legarda, at qc public employment service office.

according to mayor belmonte, the extra workers in the city are a big help especially during the pandemic. the beneficiaries are from indigent families, they will help with vaccination sites and other activities for the city’s vaccination program.

the tupad program is government assistance where displaced workers can be given employment for at least 10 days or no more than 30 days."
32,"the number of senior citizens #qcprotektodo in quezon city is increasing after the johnson & johnson janssen vaccine vaccinated more than 19,000 grandparents in district 2 today.

this one-dose vaccine is of great help in providing protection against the threat of covid-19 and delta variants.

please call all senior citizens from quezon city, please register with qc vax easy: https://qceservices.quezoncity.gov.ph/qcvaxeasy

if you have a family member or relative who is a senior citizen who is unable to register, you can help them."
33,"as part of the quezon city government's strict enforcement of minimum health protocols, the department of public order and safety conducted an ""oplan sita"" to ensure that facemasks and faceshields are worn correctly and properly in communities.

dpos, along with task force traffic and transport management, toured residential areas, main streets and markets including barangay pinyahan, east avenue, and nepa q-mart.

those caught without a facemask and faceshield were also stamped with the effect of city ordinance 2965-2020 and 2908-2020 as amended by city ordinance 2957-2020.

under the ordinances, all violators hereby incur corresponding penalties; p300 for first offense; p500 for the second offense; and P1,000 for the third offense.

the city government again reminds qcitizens to wear a facemask and faceshield and adhere to minimum health protocols to prevent further spread of covid-19 especially the more dangerous and more contagious delta variant."
34,"we are glad you won. a proof that the pinay is strong, brave, and resilient. long live the filipina athletes! ⁇"
35,"qcitizens! open burning or the burning of garbage, dry leaves, grass branches and any solid waste in public or private areas of the city is strictly prohibited. anyone who violates such qc environmental code will be given appropriate punishment.

together we take care of our environment for clean and safe qc!

qc task force on solid waste management
august 2 at 5:10 pm · facebook for android ·

open burning is strictly prohibited in our city and anyone caught violating it is subject to appropriate punishment. ⁇

a reminder from the task force on solid waste management🧡💙

#kyuserbisyo🧡💙
#sanitationqc
#roadtosanitationexcellence"
36,"will implement no walk-in transaction for all our qc youth development office scholars and others, in accordance with iatf guidelines gcq with heightened restrictions (july 30- august 5) and ecq (august 6- august 20) that exist in the city . only online transactions will be accepted from august 2 to ensure the safety of our qcitizens and prevent the spread of the covid-19 virus.

thanks for the understanding.

qc youth development office
august 1 at 5:21 pm ·

advisory no. 38-2021
no walk-in transactions

in accordance with the iatf guidelines relative to imposition of general community quarantine (gcq) with heightened restrictions (july 30 to august 5) and enhanced community quarantine (ecq) in national capital region (august 6 to 20), all qcydo scholars and valued clients are highly encourage to do online transactions starting august 2, 2021.

this is to ensure that everyone is safe from contracting the infectious disease. we value your health and safety.

thank you for your cooperation and be safe!"
37,"vaccinations continue in the city today for qcitizens who have registered and been given a schedule from qc vax easy!

walk-ins are still prohibited at all our vaccination sites to ensure order and implementation of minimum health and safety protocols despite the threat of the delta variant.

for those who want to register, just visit qc vax easy: https://qceservices.quezoncity.gov.ph/qcvaxeasy

Thank you so much for understanding and cooperating with our #qcprotektodo vaccination program to reach population protection in the city!"
38,"our local government is doing everything to reach out to our qcitizens in need especially during a pandemic.

personally attended by coun. candy medina the remote areas of barangay commonwealth to deliver grocery bags to residents.

coun brought a delicious breakfast. mikey belmonte and mbm volunteers to the people of brgy. payatas, sagada corazon area a while rice for the residents of sto. child, brgy. holy spirit.

coun has a gift. marra suntay and cong. bong suntay sa mga pwd nating senior citizens na digital bp monitor, grocery packs, backpack, shirts at wall clock."
39,"see: #qcprotektodo are now the essential workers and service providers of robinsons magnolia!

malls in the city have also partnered with the local government for our vaccination program. it adds protection to them and our qcitizens who want to walk around and shop here.

we continue to vaccinate in the city. just register with qc vax easy: https://qceservices.quezoncity.gov.ph/qcvaxeasy"
40,"despite the limited supply of the vaccine, the local government is trying to vaccinate bedridden qcitizens.

although they do not leave the house, they still need to be given virus protection because they are more susceptible to the disease.

to include your relative who is bedridden or unable to go to the vaccination site for home vaccination, just contact your barangay.

because of our city, we all aim to be #qcprotektodo!"
41,"more than one million qcitizens have been vaccinated by the first dose in quezon city!

Many thanks to our doctors, nurses, healthworkers, and volunteers for their time and dedication to help us achieve population protection! Many thanks also to our qcitizens for cooperation and solidarity with our vaccination program!

become #qcprotektodo and register for the vaccine at https://qceservices.quezoncity.gov.ph/qcvaxeasy"
42,"many thanks to mevbuilt company through the federation of filipino-chinese chamber of commerce and industry and taison industrial corporation led by kevin tai and mark kung for the 100 modular tents and foldable beds they donated for our local government.

it is additional assistance and equipment in case it is necessary to set-up evacuation centers and other facilities during a disaster."
43,"Our #qcprotektodo vaccination program has injected up to 1,483,505 doses of the vaccine with the help of our healthcare workers, staff and volunteers!

in total, 909,204 or 53.48% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 574,301 or 34.64% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
44,"up to 1,527,146 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 934,621 or 54.98% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 592,525 or 36.27% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
45,in
46,"the pwd district action office accepts walk-in applicants of qcitizen id and individual philhealth accreditation for persons with disabilities or pwd.

for those who send a representative to our district center, just bring the pwd id, copy of birth certificate and signature of the id owner on clean paper.

novaliches district center
July 30 at 10:51 am · facebook for android ·

the joy of service.
pwd ~ ndc

our pwd district action office accepts walk ~ in applications for qc id of our pwd's at the same time as registering for philhealth accreditation of individuals.

for representatives who are going to bring pwd id, copy of birth certificate and signature of the owner of the id on clean paper (3 specimens)

you are with the development.
ndc action office
ndc pio"
47,"flag raising ceremony led by mayor joy belmonte, vice mayor gian sotto, coun. victor ferrer jr., department of public order and safety head gen. elmo san diego, and select quezon city hall department heads in order to limit the attendance in the ceremony."
48,"our councilors work together to deliver service to our qcitizens in need.

coun went from house to house. lala sotto to personally deliver health kits to residents as well as in special concern areas.

councilors irene belmonte and councilor vincent belmonte quickly helped and provided food packs to the flooded families in waling-waling st., roxas district with the help of barangay roxas officials.

coun have a surprise again. marra suntay and cong. bong suntay na bigas, de lata at macaroni noodles para sa mga pwd ng brgy. new society of crame, independent, old capitol and always friendly."
49,"again conducted vaccination nights last night at quezon city hall for workers who are on duty all day and cannot be absent from work.

the local government will resume vaccination nights when an adequate supply of vaccine arrives in the city from the national government."
50,"the quezon city government has implemented a system to more efficiently inoculate its residents or workers by having them sign up on its quick substitution list (qsl), to replace scheduled beneficiaries who are no shows or did not receive their jabs due to deferment because of medical and other valid reasons.

this system also ensures that all vaccines at a site will be consumed.

quezoncity.gov.ph
qc systematizes qsl in all vax sites to ensure full vaccine utilization | quezon city government"
51,"proteklolo, proteklola sa qcprotektodo!

the quezon city government this week gave priority to vaccination of senior citizens.
yesterday it started in district 2, and from earlier until Saturday it will continue in other districts.

it is important that seniors be vaccinated because they are more at risk of covid-19 especially in the new delta variant.

register now with qc vax easy! just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy"
52,"councilor mikey belmonte and the team mb and mbm volunteers went to brgy. payatas and brgy. holy spirit to offer rice relief packs and hot soup for our residents.

councilor mayen juico had free breakfast for those affected by the floods in barangay nayong kanluran while hygiene kits, infant diapers, and bread for the evacuated families were in the evacuation area in barangay damayan, masambong, st. peter, sta. cruz.

councilor bernard herrera and deputy speaker congresswoman bernadette herrera had a relief operation for those affected by typhoon fabian in sinagtala, brgy. bahay toro katuwang sina kap. dennis caboboy, kgd. medi tan alcantara, kgd. domeng yang at ate lovella perez at ang konseho, brgy balingasa katuwang sina kap. tess vallester montalbo, kgd. leonardo singque jr., kgd. nanette winner, kgd. tess herrera and the entire council, in brgy. sta. teresita with kap wowen reyes, and aweng Kulayza and kgd. joseph sep cabaluna, kgd. dick castillo and the council and brgy. sta cruz with kap. jomar baetiong, kgd. elizabethgamet soriano, kgd. jonjon alberto and the whole of brgy. council, der muillaht, exo michael john faeldonia and the kbsd1.

thanks for the service of our local government for our qcitizens!"
53,"rain or shine, our local government continues to serve to meet the needs of our qcitizens.

personal greetings from vice mayor gian sotto and coun. candy medina some qcitizens from district dos affected by the recent typhoon to bring grocery packs.

councilor ram medalla toured various evacuation sites to greet and bring food to the districts affected by the floods.

coun returned. marra suntay and cong. bong suntay, in arboterum, brgy. up campus to distribute grocery packs and gallons of purified water for the families whose houses were flooded while they were offering soup in various flooded areas in pechayan, brgy. old capitol site at isla noah, brgy. damayang lagi.

coun shared. eric medina of alcohol dispenser, thermal scanner, and disinfectant rubber mat at apolonio samson elementary school and at barangay hall of brgy. stone balloon."
54,"[public service announcement]

because ecq in ncr (aug 6-20) and mecq in laguna (aug 1-15):

• no disconnection with ncr and laguna while implementing ecq/mecq.
• meralco's online channels are open 24/7 for questions and concerns.
• view updated business center (bc) operating hours.
• can pay bills online via meralco authorized payment partners found here: http://www.meralco.com.ph/paymentoptions"
55,"part of the duty of our local government to help our qcitizens especially during times of disaster.

together mr. arjo atayde, coun. ollie belmonte, coun. tj calalay, coun. doray delarmente, coun. jun and kgd. charm ferrer, coun. bernard herrera and coun. mayen juico, to conduct a relief operation for the families affected by the recent typhoon in brgy mariblo with the help of kap. aunt valdez and the council.

coun also delivered essential hygiene kits. calalay in the same barangay.

coun went around other barangays. delarmente to deliver relief packs specifically to brgy. sta. teresita, assistant to kgd. sep cabaluna, brgy. masambong, with kap. enyang flores, kgd. remy rm motol, kgd. rocky alpa and the other staff, and in brgy. damayan, katuwang si kap badette balbas, kgd. fluoride casaje, kgd. lala casaje, kgd. chris tizon, kgd. danny sibal and mr. arean almonte.

councilor nikki crisologo delivered food packs to brgy. del monte and the pwds of brgy. nayong kanluran at brgy. balingasa katuwang sina kap. bucsit, chap. montalbo and kap. pabustan."
56,"our local government never stops serving our qcitizens especially the most needy.

coun has a gift. marra suntay and cong. bong suntay prepaid home wi-fi, grocery bags, backpacks, and t-shirts for students with disabilities in solidarity with the persons with disability (pwd) month celebration.

coun delivered food packs. freddy roxas for those affected by the incessant rains in brgy. gulod, brgy. bagbag at brgy. sta. monica."
57,"a returning overseas filipino worker (ofw) from saudi arabia who is also a resident of quezon city had tested positive for the covid-19 delta variant.

the 34-year old male ofw arrived on june 24, and stayed in a hotel in makati for 10 days before transferring to another hotel in manila from july 4 to 11.

quezoncity.gov.ph
recovered ofw delta case returns home to qc | quezon city government"
58,"our councilors are once again circulating to deliver aid to our qcitizens.

shared coun. marra suntay and cong. bong suntay economic package containing single burner with butane, juices dispenser and livelihood umbrella where a solo parent pwd can start a business in their home.

councilors vincent and irene belmonte offered a healthy snack for the re-launch of the nutri-bike in brgy. immaculate concepcion, brgy. damayang lagi and barangay valencia with the help of kap. mon salas, chap. renato famous and kap. julie salmingo, with kgd. kaye ferrer & kgd. eugene gabor, council and bpso.

coun brought something. kate coseteng, partner of the park 7 organization, which provides food packs for 365 families in park 7, brgy loyola heights, quezon city that were affected by the flooding caused by the typhoon."
59,"Our #qcprotektodo vaccination program has injected up to 1,418,345 doses of the vaccine with the help of our healthcare workers, staff and volunteers!

in total, 880,924 or 51.82% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 537,421 or 32.19% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
60,"to avoid panic buying and hoarding, the quezon city government will limit the number of items or goods a person can purchase during the implementation of the enhanced community quarantine (ecq) from aug. 6 to 20.

in the latest ecq guidelines issued by mayor joy belmonte, the business permits and licensing department (bpld) is mandated to implement ordinance no. sp-2948 s-2020 or “regulating the selling of basic necessities during calamities.”

quezoncity.gov.ph
qc sets limits in purchase of goods, directs barangays to issue pass during ecq | quezon city government"
61,"up to 1,568,405 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 975,282 or 57.37% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 593,123 or 36.88% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
62,"with the threat of the delta variant, the quezon city government reiterates its strict no-walk-in policy in all vaccination sites to minimize crowding and further mitigate the transmission of the covid-19 virus.

reports of increased numbers of walk-ins in vaccination sites is a cause of alarm for the qc health department and the qc task force vax to normal.

quezoncity.gov.ph
qc insists on no-walk-in policy to control overcrowding and virus spread | quezon city government"
63,"up to 1,450,785 doses of the vaccine have been injected by our #qcprotektodo vaccination program with the help of our healthcare workers, staff and volunteers!

in total, 895,450 or 52.67% of the 1.7 million target population have been vaccinated with the first dose in our city despite the limited supply of the vaccine. this is a big deal especially now with the delta variant.

up to 555,335 or 33.40% have already received their second dose.

qcitizens are encouraged to register with qc vax easy to receive a vaccination schedule. those given the schedule are in accordance with the first in, first out system or priority to vaccinate those who have previously registered, still depending on the supply of vaccine arriving in the city. just visit: https://qceservices.quezoncity.gov.ph/qcvaxeasy

watch for other announcements here on our facebook page or visit https://qcprotektodo.ph for other details of our vaccination program."
64,"eduk-aksyon: mayor's education summit (day 2: friday | july 30, 2021 | 2:00pm)"
